"ID","STATION","LINE"
"1","Park Street","GREEN"
"2","Park Street","RED"
"3","JFK/UMass","RED"
"4","State","BLUE"
"5","State","ORANGE"
"6","Roxbury Crossing","ORANGE"
"7","Hynes Convention Center","GREEN"
"8","Blandford Street","GREEN"
"9","Boston University East","GREEN"
"10","Magoun Square","GREEN"
"11","Ball Square","GREEN"
"12","Union Square","GREEN"
"13","East Somerville","GREEN"
"14","Medford/Tufts","GREEN"
"15","Lechmere","GREEN"
"16","Gilman Square","GREEN"
"17","Assembly","ORANGE"
"18","Ashmont","RED"
"19","Harvard","RED"
"20","Kendall/MIT","RED"
"21","Capen Street","RED"
"22","Tufts Medical Center","ORANGE"
"23","Waban","GREEN"
"24","Kenmore","GREEN"
"25","Arlington","GREEN"
"26","Copley","GREEN"
"27","Boylston","GREEN"
"28","Chinatown","ORANGE"
"29","Haymarket","GREEN"
"30","Haymarket","ORANGE"
"31","North Station","GREEN"
"32","North Station","ORANGE"
"33","Davis","RED"
"34","South Station","RED"
"35","Oak Grove","ORANGE"
"36","Malden Center","ORANGE"
"37","Wellington","ORANGE"
"38","Sullivan Square","ORANGE"
"39","Community College","ORANGE"
"40","Science Park/West End","GREEN"
"41","Bowdoin","BLUE"
"42","Government Center","BLUE"
"43","Government Center","GREEN"
"44","Aquarium","BLUE"
"45","Maverick","BLUE"
"46","Airport","BLUE"
"47","Wood Island","BLUE"
"48","Orient Heights","BLUE"
"49","Suffolk Downs","BLUE"
"50","Beachmont","BLUE"
"51","Revere Beach","BLUE"
"52","Wonderland","BLUE"
"53","Alewife","RED"
"54","Porter","RED"
"55","Central","RED"
"56","Charles/MGH","RED"
"57","Broadway","RED"
"58","Andrew","RED"
"59","Savin Hill","RED"
"60","Fields Corner","RED"
"61","Shawmut","RED"
"62","Cedar Grove","RED"
"63","Butler","RED"
"64","Milton","RED"
"65","Central Avenue","RED"
"66","Valley Road","RED"
"67","Mattapan","RED"
"68","North Quincy","RED"
"69","Wollaston","RED"
"70","Quincy Center","RED"
"71","Quincy Adams","RED"
"72","Braintree","RED"
"73","Forest Hills","ORANGE"
"74","Green Street","ORANGE"
"75","Stony Brook","ORANGE"
"76","Jackson Square","ORANGE"
"77","Ruggles","ORANGE"
"78","Massachusetts Ave","ORANGE"
"79","Back Bay","ORANGE"
"80","Prudential","GREEN"
"81","Symphony","GREEN"
"82","Northeastern","GREEN"
"83","Museum Of Fine Arts","GREEN"
"84","Longwood Medical Area","GREEN"
"85","Brigham Circle","GREEN"
"86","Fenwood Road","GREEN"
"87","Mission Park","GREEN"
"88","Riverway","GREEN"
"89","Back Of The Hill","GREEN"
"90","Heath Street","GREEN"
"91","Boston University Central","GREEN"
"92","Amory Street","GREEN"
"93","Babcock Street","GREEN"
"94","Packards Corner","GREEN"
"95","Harvard Avenue","GREEN"
"96","Griggs Street","GREEN"
"97","Allston Street","GREEN"
"98","Warren Street","GREEN"
"99","Washington Street","GREEN"
"100","Sutherland Road","GREEN"
"101","Chiswick Road","GREEN"
"102","Chestnut Hill Avenue","GREEN"
"103","South Street","GREEN"
"104","Boston College","GREEN"
"105","Cleveland Circle","GREEN"
"106","Englewood Avenue","GREEN"
"107","Dean Road","GREEN"
"108","Tappan Street","GREEN"
"109","Washington Square","GREEN"
"110","Fairbanks Street","GREEN"
"111","Brandon Hall","GREEN"
"112","Summit Avenue","GREEN"
"113","Coolidge Corner","GREEN"
"114","Saint Paul Street","GREEN"
"115","Kent Street","GREEN"
"116","Hawes Street","GREEN"
"117","Saint Marys Street","GREEN"
"118","Fenway","GREEN"
"119","Longwood","GREEN"
"120","Brookline Village","GREEN"
"121","Brookline Hills","GREEN"
"122","Beaconsfield","GREEN"
"123","Reservoir","GREEN"
"124","Chestnut Hill","GREEN"
"125","Newton Centre","GREEN"
"126","Newton Highlands","GREEN"
"127","Eliot","GREEN"
"128","Woodland","GREEN"
"129","Riverside","GREEN"
"130","Downtown Crossing","ORANGE"
"131","Downtown Crossing","RED"
